subject_group	total
Crime, Espionage, Justice, Police & Prisons/Questioning	9
Hobbies, Recreation & Sport/Diving	33
History/Archaeology	82
Places/Granville (N.S.W.)	2
Agriculture, Business, Commerce & Industry/Pipe industry	5
Family, Gender Identity, Relationships & Sexuality/Divorce - Law and legislation	4
Food, Health, Lifestyle, Medicine, Psychology & Safety/National characteristics	16
People/Trevelyan, George Macauley, 1876-1962	1
Agriculture, Business, Commerce & Industry/Commercial treaties	7
Literature/Fairy tales - China	7
History/Charles I, King of England, 1600-1649	1
Crafts & Visual Arts/Photography - Exposure	8
Animals & Wildlife/Beef cattle	27
Agriculture, Business, Commerce & Industry/Professions	16
Economics, Philosophy, Politics, Religion & Sociology/Food relief - Developing countries	27
Anthropology, Ethnology, Exploration & Travel/India - Religion	37
Crafts & Visual Arts/Landscape painters - Australia	13
Mathematics, Science & Technology/Shades and shadows	9
Economics, Philosophy, Politics, Religion & Sociology/Shamans	4
Agriculture, Business, Commerce & Industry/Industrialization	88
Places/Libya	7
Economics, Philosophy, Politics, Religion & Sociology/Juvenile corrections	6
History/Norway - History	9
Economics, Philosophy, Politics, Religion & Sociology/Emotional and behavioral difficulties in children	51
Hobbies, Recreation & Sport/Swimming	80
History/Pran, Dith	1
People/Brahe, Tycho, 1546-1601	1
Climate, Environment, Natural Resources & Disasters/Fungus	12
Agriculture, Business, Commerce & Industry/Unemployment - Australia	17
Mathematics, Science & Technology/Technology - Japan	8
Mathematics, Science & Technology/Neutrons	5
People/Connolly, Bob	1
Economics, Philosophy, Politics, Religion & Sociology/Electioneering - United States	8
Animals & Wildlife/Sexual behavior in animals	6
People/Blind-deaf - Biography	4
Literature/Scottish literature - Film and video adaptations	5
Anthropology, Ethnology, Exploration & Travel/Quebec (Province)	68
Education, Instruction, Teaching & Schools/Children's encyclopedias and dictionaries	9
People/Chi, Jimmy	1
Animals & Wildlife/Wolves	11
Economics, Philosophy, Politics, Religion & Sociology/Jewish-Arab relations	13
Crime, Espionage, Justice, Police & Prisons/Fraud investigation	3
Animals & Wildlife/Lyrebirds	10
Advertising, Film, Journalism, Mass Media & TV/Hammerstein, Oscar II	1
Places/Bischoff, Mount (Tas.)	1
Armed Forces, Military, War & Weapons/World War, 1939-1945 - Poland	23
Crafts & Visual Arts/Arts - History	20
Places/Bundaberg (Qld)	1
Animals & Wildlife/Endangered species	52
Anthropology, Ethnology, Exploration & Travel/Sweden	9
Mathematics, Science & Technology/Metals - History	13
Economics, Philosophy, Politics, Religion & Sociology/Timber - Economic aspects	16
People/Mollison, Bill	3
Family, Gender Identity, Relationships & Sexuality/Women - Germany	3
Advertising, Film, Journalism, Mass Media & TV/Hitchcock, Alfred, 1899-1980	4
Hobbies, Recreation & Sport/Hobbies	45
Anthropology, Ethnology, Exploration & Travel/Mexico - Social life and customs	29
Anthropology, Ethnology, Exploration & Travel/Rome (Italy) - Social life and customs	4
Food, Health, Lifestyle, Medicine, Psychology & Safety/Teenagers	209
History/Suleyman I, Sultan of the Turks, 1494 or 5-1566	1
Advertising, Film, Journalism, Mass Media & TV/Television advertising	83
Economics, Philosophy, Politics, Religion & Sociology/Cairns, Jim	3
Crime, Espionage, Justice, Police & Prisons/Undercover operations	6
Food, Health, Lifestyle, Medicine, Psychology & Safety/Rogers, Carl R. (Carl Ransom)	4
Food, Health, Lifestyle, Medicine, Psychology & Safety/Hospital evacuation	3
Communications, Infrastructure, & Transport/National Trust (Great Britain)	5
Animals & Wildlife/Sugar glider	3
Anthropology, Ethnology, Exploration & Travel/Malaysia	11
Climate, Environment, Natural Resources & Disasters/Wilderness areas	7
Armed Forces, Military, War & Weapons/Military history	41
Anthropology, Ethnology, Exploration & Travel/Fishing villages	13
Anthropology, Ethnology, Exploration & Travel/Calcutta (India)	8
Family, Gender Identity, Relationships & Sexuality/Sex discrimination	1
Literature/Bronte, Emily, 1818-1848	1
History/United States. President (1945-1953 : Truman)	6
Communications, Infrastructure, & Transport/Transpacific flights - History	4
Education, Instruction, Teaching & Schools/Home and school	16
Literature/Andersen, H. C. (Hans Christian), 1805-1875	31
Climate, Environment, Natural Resources & Disasters/Wilsons Promontory National Park (Vic.)	1
Crafts & Visual Arts/Herbert, Daniel	1
